Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
AIG,Bull Call Spread,-5.87,212.0,88.0,212.0,60.3,39.66,-0.02768867924528302,0.41509433962264153,50.0,-7.999999999999999,1.9999999999999998,-1.0,1.0,Call,26.0,1.0,Call,29.0,-1.0
AIG,Bull Call Spread,-0.54,125.0,75.0,125.0,58.47,41.49,-0.00432,0.6,32.99999999999999,-3.9999999999999982,0.0,0.0,1.0,Call,27.0,1.0,Call,29.0,-1.0
AIG,Bull Call Spread,18.67,240.0,160.0,240.0,57.65,42.3,0.07779166666666668,0.6666666666666666,66.0,-4.000000000000001,1.0,-1.0,1.0,Call,26.0,1.0,Call,30.0,-1.0
AIG,Bull Call Spread,24.0,153.0,147.0,153.0,56.9,43.05,0.1568627450980392,0.9607843137254902,49.0,0.0,-0.9999999999999999,0.0,1.0,Call,27.0,1.0,Call,30.0,-1.0
AIG,Bull Call Spread,-6.91,64.0,36.0,64.0,55.59,44.36,-0.10796875,0.5625,17.000000000000004,-0.9999999999999981,0.0,0.0,1.0,Call,28.0,1.0,Call,29.0,-1.0
AIG,Bull Call Spread,17.63,92.0,108.0,92.0,54.52,45.44,0.1916304347826087,1.173913043478261,33.00000000000001,3.0,-0.9999999999999999,0.0,1.0,Call,28.0,1.0,Call,30.0,-1.0
AIG,Bull Call Spread,17.54,35.0,65.0,35.0,52.68,47.28,0.5011428571428571,1.8571428571428572,16.0,3.9999999999999982,-0.9999999999999999,0.0,0.0,Call,29.0,1.0,Call,30.0,-1.0
BA,Bull Call Spread,-7.12,830.0,170.0,830.0,75.9,23.89,-0.008578313253012048,0.20481927710843373,20.000000000000007,-1.0,12.0,-6.0,1.0000000000000002,Call,150.0,1.0,Call,160.0,-1.0
BA,Bull Call Spread,-9.22,610.0000000000002,139.99999999999977,610.0000000000002,75.24,24.55,-0.01511475409836065,0.229508196721311,18.000000000000004,-1.0,11.0,-4.999999999999999,1.0000000000000002,Call,152.5,1.0,Call,160.0,-1.0
BA,Bull Call Spread,3.79,770.0000000000002,229.99999999999977,770.0000000000002,71.58,28.2,0.0049220779220779205,0.2987012987012983,23.0,-1.0,11.0,-4.999999999999999,1.0000000000000002,Call,152.5,1.0,Call,162.5,-1.0
BA,Bull Call Spread,-9.34,370.0,130.0,370.0,69.2,30.58,-0.025243243243243244,0.35135135135135137,13.0,0.0,4.999999999999999,-1.9999999999999991,0.0,Call,157.5,1.0,Call,162.5,-1.0
BA,Bull Call Spread,8.89,710.0,290.0,710.0,67.0,32.78,0.012521126760563382,0.4084507042253521,22.000000000000007,0.0,6.999999999999998,-4.000000000000001,2.0000000000000004,Call,155.0,1.0,Call,165.0,-1.0
BA,Bull Call Spread,18.06,500.0,250.0,500.0,66.01,33.78,0.03612,0.5,19.000000000000007,0.0,6.999999999999998,-3.0,1.0000000000000002,Call,157.5,1.0,Call,165.0,-1.0
BA,Bull Call Spread,39.37,620.0,380.0,620.0,62.99,36.8,0.0635,0.6129032258064516,25.0,0.0,6.999999999999998,-3.0,1.0000000000000002,Call,157.5,1.0,Call,167.5,-1.0
BA,Bull Call Spread,3.81,295.0,205.0,295.0,58.36,41.42,0.012915254237288136,0.6949152542372882,12.0,0.0,1.9999999999999991,-1.0000000000000009,1.0000000000000002,Call,162.5,1.0,Call,167.5,-1.0
BA,Bull Call Spread,18.95,405.0,345.0,405.0,55.51,44.27,0.04679012345679012,0.8518518518518519,18.0,0.0,1.0000000000000009,-1.0000000000000009,1.0000000000000002,Call,162.5,1.0,Call,170.0,-1.0
BA,Bull Call Spread,33.3,500.00000000000006,499.99999999999994,500.00000000000006,53.18,46.61,0.06659999999999999,0.9999999999999998,23.000000000000004,0.0,1.9999999999999991,-1.0000000000000009,2.0,Call,162.5,1.0,Call,172.5,-1.0
BA,Bull Call Spread,-9.81,135.0,115.0,135.0,49.57,50.22,-0.07266666666666667,0.8518518518518519,6.0,0.0,-0.9999999999999981,0.0,0.0,Call,167.5,1.0,Call,170.0,-1.0
BA,Bull Call Spread,4.54,230.00000000000006,269.99999999999994,230.00000000000006,47.27,52.51,0.019739130434782603,1.1739130434782603,11.000000000000004,0.0,0.0,0.0,0.9999999999999999,Call,167.5,1.0,Call,172.5,-1.0
BA,Bull Call Spread,18.89,310.0,440.0,310.0,45.26,54.53,0.06093548387096774,1.4193548387096775,17.000000000000004,0.0,-1.9999999999999991,1.0000000000000009,0.9999999999999999,Call,167.5,1.0,Call,175.0,-1.0
BA,Bull Call Spread,4.37,105.00000000000006,144.99999999999994,105.00000000000006,44.01,55.77,0.0416190476190476,1.3809523809523796,5.000000000000004,0.0,0.9999999999999981,0.0,0.9999999999999999,Call,170.0,1.0,Call,172.5,-1.0
