Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_152.5,C_155.0,C_157.5,C_160.0,C_162.5,C_165.0,C_167.5,C_170.0,C_172.5,C_175.0,C_177.5,C_180.0,C_182.5,C_185.0,C_187.5,C_190.0,C_192.5,C_195.0,C_197.5,P_152.5,P_155.0,P_157.5,P_160.0,P_162.5,P_165.0,P_167.5,P_170.0,P_172.5,P_175.0,P_177.5,P_180.0,P_182.5,P_185.0,P_187.5,P_190.0,P_192.5,P_195.0,P_197.5
BA,Bear Call Spread,-67.52,-39.0,39.0,461.0,75.05,23.35,-0.1464642082429501,-4.999999999999999,0.0,2.9999999999999973,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-111.22,-59.0,59.0,691.0,72.29,26.11,-0.16095513748191026,-8.000000000000002,0.0,2.9999999999999973,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-104.81,-140.00000000000006,140.00000000000006,610.0,62.51,35.89,-0.17181967213114754,-10.999999999999998,-1.0,4.0000000000000036,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-117.23,-75.0,75.0,675.0,69.09,29.31,-0.1736740740740741,-7.999999999999999,-1.0,3.9999999999999982,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-105.05,-170.0,170.0,580.0,58.76,39.65,-0.18112068965517242,-10.999999999999998,0.0,2.0000000000000018,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-105.99,-425.0,425.0,575.0,44.51,53.9,-0.1843304347826087,-18.0,0.0,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-121.97,-95.0,95.0,655.0,65.71,32.7,-0.18621374045801525,-9.999999999999998,-1.0,3.0000000000000027,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-65.34,-175.0000000000001,175.0000000000001,324.9999999999999,49.43,48.97,-0.20104615384615393,-9.000000000000002,0.0,0.9999999999999953,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-143.95,-290.0000000000001,290.0000000000001,709.9999999999999,51.75,46.65,-0.20274647887323946,-16.000000000000004,0.0,1.9999999999999962,-1.0000000000000009,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-99.84,-20.0,20.0,480.0,71.78,26.62,-0.20800000000000002,-5.000000000000002,0.0,1.9999999999999962,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-100.45,-35.0,35.0,465.0,68.53,29.88,-0.2160215053763441,-6.0,-1.0,2.0000000000000018,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-88.46,-105.0,105.0,395.0,57.51,40.89,-0.22394936708860758,-7.000000000000001,0.0,1.0000000000000009,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-108.98,-270.0,270.0,480.0,46.49,51.91,-0.22704166666666667,-13.000000000000005,0.0,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-97.26,-75.0,75.0,425.0,61.35,37.06,-0.22884705882352943,-8.000000000000002,0.0,2.0000000000000018,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-137.25,-170.0,170.0,580.0,54.21,44.19,-0.23663793103448275,-12.0,0.0,1.9999999999999962,-1.0000000000000009,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-107.79,-45.00000000000006,45.00000000000006,454.99999999999994,64.93,33.47,-0.23690109890109895,-6.999999999999995,-1.0,3.0000000000000027,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-127.25,-215.0000000000001,215.0000000000001,534.9999999999999,50.21,48.19,-0.23785046728971967,-12.0,0.0,0.9999999999999953,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,Bear Call Spread,-179.15,-515.0,515.0,735.0,41.33,57.08,-0.24374149659863947,-22.000000000000004,0.0,-2.0000000000000018,1.0000000000000009,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
